Country,airconditioning,buzzer/wirelessintercom,cabletv,carbonmonoxidedetector,dryer,elevatorinbuilding,essentials,family/kidfriendly,fireextinguisher,firstaidkit,freeparkingonpremises,hairdryer,hangers,heating,internet,iron,kitchen,laptopfriendlyworkspace,shampoo,smokedetector,tv,washer,wirelessinternet
UnitedStates,yes,no,no,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
UnitedKingdom,no,no,no,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Switzerland,no,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes
Spain,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes
Netherlands,no,no,yes,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Italy,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes
Ireland,no,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
HongKong,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes
Greece,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes
Germany,no,yes,no,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes
France,no,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Denmark,no,yes,no,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
China,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes
Canada,no,no,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Belgium,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Austria,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes
Australia,yes,no,no,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
